2026-04-07 00:02:09,900 | features.extractor   | INFO     | Feature extraction pipeline started — 1 packets.
2026-04-07 00:02:09,901 | features.extractor   | INFO     | Created DataFrame: 1 rows × 6 columns.
2026-04-07 00:02:09,904 | features.extractor   | INFO     | Engineered 10 feature columns: frame_len, ip_proto, is_tcp, is_udp, tcp_flag_syn, tcp_flag_ack, tcp_flag_fin, tcp_flag_rst, tcp_flag_psh, hour_of_day
2026-04-07 00:02:09,905 | features.extractor   | INFO     | Selected 12 columns for model input (10 feature + IP context).
2026-04-07 00:02:09,906 | features.extractor   | INFO     | Feature extraction complete — output shape: 1 × 12.
2026-04-07 00:02:09,919 | detection.anomaly_detector | INFO     | Scored 1 packets. Anomalies flagged: 0
2026-04-07 00:02:09,921 | classification.attack_classifier | INFO     | No anomalies found; skipped classifier model inference.
2026-04-07 00:02:09,921 | features.extractor   | INFO     | Feature extraction pipeline started — 1 packets.
2026-04-07 00:02:09,922 | features.extractor   | INFO     | Created DataFrame: 1 rows × 6 columns.
2026-04-07 00:02:09,926 | features.extractor   | INFO     | Engineered 10 feature columns: frame_len, ip_proto, is_tcp, is_udp, tcp_flag_syn, tcp_flag_ack, tcp_flag_fin, tcp_flag_rst, tcp_flag_psh, hour_of_day
2026-04-07 00:02:09,927 | features.extractor   | INFO     | Selected 12 columns for model input (10 feature + IP context).
2026-04-07 00:02:09,928 | features.extractor   | INFO     | Feature extraction complete — output shape: 1 × 12.
2026-04-07 00:02:09,941 | detection.anomaly_detector | INFO     | Scored 1 packets. Anomalies flagged: 0
2026-04-07 00:02:09,942 | classification.attack_classifier | INFO     | No anomalies found; skipped classifier model inference.
2026-04-07 00:02:09,943 | features.extractor   | INFO     | Feature extraction pipeline started — 1 packets.
2026-04-07 00:02:09,944 | features.extractor   | INFO     | Created DataFrame: 1 rows × 6 columns.
2026-04-07 00:02:09,947 | features.extractor   | INFO     | Engineered 10 feature columns: frame_len, ip_proto, is_tcp, is_udp, tcp_flag_syn, tcp_flag_ack, tcp_flag_fin, tcp_flag_rst, tcp_flag_psh, hour_of_day
2026-04-07 00:02:09,948 | features.extractor   | INFO     | Selected 12 columns for model input (10 feature + IP context).
2026-04-07 00:02:09,949 | features.extractor   | INFO     | Feature extraction complete — output shape: 1 × 12.
2026-04-07 00:02:09,962 | detection.anomaly_detector | INFO     | Scored 1 packets. Anomalies flagged: 0
2026-04-07 00:02:09,963 | classification.attack_classifier | INFO     | No anomalies found; skipped classifier model inference.
2026-04-07 00:02:09,964 | features.extractor   | INFO     | Feature extraction pipeline started — 1 packets.
2026-04-07 00:02:09,964 | features.extractor   | INFO     | Created DataFrame: 1 rows × 6 columns.
2026-04-07 00:02:09,969 | features.extractor   | INFO     | Engineered 10 feature columns: frame_len, ip_proto, is_tcp, is_udp, tcp_flag_syn, tcp_flag_ack, tcp_flag_fin, tcp_flag_rst, tcp_flag_psh, hour_of_day
2026-04-07 00:02:09,970 | features.extractor   | INFO     | Selected 12 columns for model input (10 feature + IP context).
2026-04-07 00:02:09,970 | features.extractor   | INFO     | Feature extraction complete — output shape: 1 × 12.
2026-04-07 00:02:09,984 | detection.anomaly_detector | INFO     | Scored 1 packets. Anomalies flagged: 0
2026-04-07 00:02:09,985 | classification.attack_classifier | INFO     | No anomalies found; skipped classifier model inference.
2026-04-07 00:02:09,986 | features.extractor   | INFO     | Feature extraction pipeline started — 1 packets.
2026-04-07 00:02:09,986 | features.extractor   | INFO     | Created DataFrame: 1 rows × 6 columns.
2026-04-07 00:02:09,991 | features.extractor   | INFO     | Engineered 10 feature columns: frame_len, ip_proto, is_tcp, is_udp, tcp_flag_syn, tcp_flag_ack, tcp_flag_fin, tcp_flag_rst, tcp_flag_psh, hour_of_day
2026-04-07 00:02:09,992 | features.extractor   | INFO     | Selected 12 columns for model input (10 feature + IP context).
2026-04-07 00:02:09,992 | features.extractor   | INFO     | Feature extraction complete — output shape: 1 × 12.
2026-04-07 00:02:10,006 | detection.anomaly_detector | INFO     | Scored 1 packets. Anomalies flagged: 0
2026-04-07 00:02:10,008 | classification.attack_classifier | INFO     | No anomalies found; skipped classifier model inference.
2026-04-07 00:02:10,008 | features.extractor   | INFO     | Feature extraction pipeline started — 1 packets.
2026-04-07 00:02:10,009 | features.extractor   | INFO     | Created DataFrame: 1 rows × 6 columns.
2026-04-07 00:02:10,013 | features.extractor   | INFO     | Engineered 10 feature columns: frame_len, ip_proto, is_tcp, is_udp, tcp_flag_syn, tcp_flag_ack, tcp_flag_fin, tcp_flag_rst, tcp_flag_psh, hour_of_day
2026-04-07 00:02:10,014 | features.extractor   | INFO     | Selected 12 columns for model input (10 feature + IP context).
2026-04-07 00:02:10,015 | features.extractor   | INFO     | Feature extraction complete — output shape: 1 × 12.
2026-04-07 00:02:10,028 | detection.anomaly_detector | INFO     | Scored 1 packets. Anomalies flagged: 0
2026-04-07 00:02:10,029 | classification.attack_classifier | INFO     | No anomalies found; skipped classifier model inference.
2026-04-07 00:02:10,030 | features.extractor   | INFO     | Feature extraction pipeline started — 1 packets.
2026-04-07 00:02:10,031 | features.extractor   | INFO     | Created DataFrame: 1 rows × 6 columns.
